Advanced Telemetry Systems' R4500S Series Receiver-Data Logger,,,,,,,,,,,
Csv Data File: C:\Users\gloverl\Desktop\R4500S_9_18_2023_14_25_28.csv,,,,,,,,,,,
 Generated: 9/18/2023,,,,,,,,,,,
Program: ATSWinRec_R4500S,Version: R4500S_3.0.31.28757,Source:PC,,,,,,,,,
                                                  ,,,,,,,,,,,
                                                  ,,,,,,,,,,,
Date,Ant,Fr,Sig,NumPls,PR,NumMatch,PrmNum,,,,
8/12/2023 7:07,0,149515,85,14,23,8,0,,,,
8/12/2023 7:09,1,149515,90,15,23,8,0,,,,
8/12/2023 7:09,2,149515,90,15,23,8,0,,,,
8/12/2023 7:17,0,149515,91,21,23,12,0,,,,
8/12/2023 7:16,1,149515,100,36,23,20,0,,,,
8/12/2023 7:16,2,149515,94,29,23,16,0,,,,
8/12/2023 7:20,0,149515,96,36,23,20,0,,,,
8/12/2023 7:20,2,149515,87,28,23,16,0,,,,
8/12/2023 7:22,1,149515,84,22,23,12,0,,,,
8/14/2023 21:32,0,149394,83,8,23,4,0,,,,
8/14/2023 21:32,1,149394,84,8,23,4,0,,,,
8/14/2023 21:37,2,149394,83,7,23,4,0,,,,
8/14/2023 21:42,0,149394,94,28,23,16,0,,,,
8/14/2023 21:49,1,149394,102,56,23,32,0,,,,
8/14/2023 21:47,2,149394,99,49,23,28,0,,,,
8/14/2023 21:54,0,149394,100,43,23,24,0,,,,
8/14/2023 21:53,1,149394,97,43,23,24,0,,,,
8/14/2023 21:55,2,149394,100,35,23,20,0,,,,
8/14/2023 22:00,1,149394,90,29,23,16,0,,,,
8/14/2023 22:01,2,149394,91,8,23,4,0,,,,
8/14/2023 22:02,0,149394,91,14,23,8,0,,,,
8/16/2023 16:45,0,149556,93,42,24,24,0,,,,
8/16/2023 16:49,1,149556,103,46,24,24,0,,,,
8/16/2023 16:47,2,149556,98,29,24,16,0,,,,
8/16/2023 16:50,0,149556,103,43,24,24,0,,,,
8/16/2023 16:51,1,149556,99,24,24,12,0,,,,
8/16/2023 16:54,2,149556,88,8,24,4,0,,,,
8/16/2023 17:00,0,149556,80,7,24,4,0,,,,
8/18/2023 3:29,0,149572,112,15,23,8,0,,,,
8/18/2023 3:29,1,149572,120,7,23,4,0,,,,
8/18/2023 3:29,2,149572,125,7,23,4,0,,,,
8/18/2023 3:30,1,149572,137,36,23,20,0,,,,
8/18/2023 3:30,2,149572,119,15,23,8,0,,,,
8/18/2023 3:31,0,149572,114,35,23,20,0,,,,
8/18/2023 17:33,2,149624,102,36,23,20,0,,,,
8/18/2023 17:39,0,149624,99,43,23,24,0,,,,
8/18/2023 17:37,1,149624,100,40,23,20,0,,,,
8/18/2023 17:48,0,149624,95,22,23,12,0,,,,
8/18/2023 17:49,1,149624,104,69,23,32,0,,,,
8/18/2023 17:44,2,149624,121,35,23,20,0,,,,
8/18/2023 17:53,0,149624,101,49,23,28,0,,,,
8/18/2023 17:53,1,149624,104,65,23,28,0,,,,
8/18/2023 17:52,2,149624,97,35,23,20,0,,,,
8/18/2023 18:00,0,149624,88,28,23,16,0,,,,
8/18/2023 18:04,1,149624,92,27,23,12,0,,,,
8/18/2023 18:10,0,149624,75,7,23,4,0,,,,
8/18/2023 18:13,1,149624,84,8,23,4,0,,,,
8/18/2023 21:39,1,149274,119,22,23,12,0,,,,
8/18/2023 21:39,2,149274,124,22,23,12,0,,,,
8/18/2023 21:39,0,149274,119,15,23,8,0,,,,
8/18/2023 21:46,0,149274,135,56,23,32,0,,,,
8/18/2023 21:46,1,149274,136,54,23,28,0,,,,
8/18/2023 21:45,2,149274,129,57,23,32,0,,,,
8/18/2023 21:52,0,149274,99,50,23,28,0,,,,
8/18/2023 21:50,1,149274,96,37,23,20,0,,,,
8/18/2023 21:50,2,149274,87,15,23,8,0,,,,
8/18/2023 22:03,0,149274,96,35,23,20,0,,,,
8/18/2023 22:05,1,149274,94,42,23,24,0,,,,
8/18/2023 22:01,2,149274,90,44,23,24,0,,,,
8/18/2023 22:11,1,149274,84,15,23,8,0,,,,
8/18/2023 22:13,0,149274,80,14,23,8,0,,,,
8/19/2023 5:29,0,149274,86,28,23,16,0,,,,
8/19/2023 5:28,1,149274,85,14,23,8,0,,,,
8/19/2023 5:30,0,149274,102,21,23,12,0,,,,
8/19/2023 5:32,1,149274,100,15,23,8,0,,,,
8/19/2023 5:32,2,149274,91,15,23,8,0,,,,
8/19/2023 19:46,1,149353,142,46,23,24,0,,,,
8/19/2023 19:46,0,149353,134,36,23,20,0,,,,
8/19/2023 19:46,2,149353,128,34,23,20,0,,,,
8/19/2023 19:52,0,149353,103,36,23,20,0,,,,
8/19/2023 19:51,1,149353,102,15,23,8,0,,,,
8/19/2023 19:51,2,149353,91,8,23,4,0,,,,
8/19/2023 20:02,0,149353,78,8,23,4,0,,,,
8/20/2023 16:19,1,149274,120,40,23,20,0,,,,
8/20/2023 16:18,2,149274,90,14,23,8,0,,,,
8/20/2023 16:19,0,149274,110,14,23,8,0,,,,
8/20/2023 16:20,0,149274,137,56,23,32,0,,,,
8/20/2023 16:21,1,149274,136,65,23,28,0,,,,
8/20/2023 16:21,2,149274,132,36,23,20,0,,,,
8/20/2023 16:30,1,149274,89,15,23,8,0,,,,
8/20/2023 16:30,2,149274,83,15,23,8,0,,,,
8/20/2023 16:31,0,149274,93,21,23,12,0,,,,
8/20/2023 16:41,0,149274,70,7,23,4,0,,,,
8/28/2023 10:46,0,149572,127,35,23,20,0,,,,
8/28/2023 10:46,1,149572,126,38,23,20,0,,,,
8/28/2023 10:45,2,149572,129,35,23,20,0,,,,
8/28/2023 10:50,0,149572,96,22,23,12,0,,,,
8/28/2023 10:50,1,149572,104,22,23,8,0,,,,
8/28/2023 10:50,2,149572,87,15,23,8,0,,,,
9/1/2023 6:04,0,149535,68,6,24,4,0,,,,
9/1/2023 6:04,2,149535,68,7,24,4,0,,,,
9/1/2023 6:19,1,149535,86,22,24,12,0,,,,
9/1/2023 6:13,2,149535,79,29,24,16,0,,,,
9/1/2023 6:19,0,149535,84,26,24,16,0,,,,
9/1/2023 6:26,2,149535,121,57,24,32,0,,,,
9/1/2023 6:24,0,149535,122,56,24,32,0,,,,
9/1/2023 6:26,1,149535,134,49,24,28,0,,,,
9/1/2023 6:30,1,149535,109,57,24,32,0,,,,
9/1/2023 6:31,2,149535,99,50,24,28,0,,,,
9/1/2023 6:31,0,149535,107,49,24,28,0,,,,
9/1/2023 6:40,1,149535,76,26,24,16,0,,,,
9/1/2023 6:41,0,149535,73,8,24,4,0,,,,
9/1/2023 6:50,1,149535,76,14,24,8,0,,,,
9/1/2023 6:51,0,149535,76,13,24,8,0,,,,
9/1/2023 7:16,0,149535,67,7,24,4,0,,,,
9/1/2023 7:16,1,149535,75,7,24,4,0,,,,
9/1/2023 9:25,0,149535,72,7,24,4,0,,,,
,,,,,,,,,,,
***PrmNum Key***,,,,,,,,,,,
,,,,,,,,,,,
PrmNum,Block_Type,Scan_Type,TimeOut,Scan,Tables,GPS,StoreRate,Antennas,ExtData,Reference_Frequency,
0, Stationary , Fixed PR -  Pattern Matching - PR1:25 Tol:2 PR2:0 Tol:0 PR3:0 Tol:0 PR4:0 Tol:0,3,10,1, NA,10,2, No, Freq: 150054, Store Rate: 60 
